song_id,title,artist_name,genre
SOLPUXS12A8AE469E5,Rip Off The Gift,Chisel,Pop
SOFODGQ12AB018111E,Legends (Album Version),Madina Lake,Hip-Hop
SOCRPWF12A8C14380E,We Scrape_ We Scoot,Big Rich,Classical
SOVTOTQ12AB0181EB7,Les Majorettes,Edouard Duleu,Pop
SOOFYFO12A6D4FB50E,The Hour,The Saints,Rock
SONEWTJ12AC468C0BF,Closer Groove,Phonique,Pop
SOKPMOQ12A8C1359C9,Roads We Choose,Chris Cornell,Hip-Hop
SOLXOWU12AC9072658,Rawsome,Franck Roger,R&B
SOWIUGY12AB018282E,Comply Or Die,Paul Trainer,Classical
SOWRZOF12A6D4F7332,Your Call,The Concretes,Jazz
SOUKZAY12A58A78D67,96 Recreation (Demo),Wu-Tang Clan,R&B
SOMOEMR12AB018BC0E,Twist And Shout,The Gentrys,Pop
SOETPAW12A8C133D47,Soulchaser,PRIMAL FEAR,Jazz
SOJTKVS12AB017DB96,Love Won't Get Any Better,Marc Anthony,Hip-Hop
SOUTKOU12AB0182B68,Weeds,Neotropic,Rock
SOGQLAB12AC468BB20,I'll Always Be In Love With You,The Five Keys,R&B
SOCPJUC12AC46866CD,The Prayer,Natural Black,Classical
SOTHOGW12AB017E023,Smooth Operator,Loretta York,Jazz
SOIPKZT12AAF3B3920,Who Made Little Boy Blue? (1934),Ian Whitcomb,Pop
SOJWAWF12AAFF42565,Just The Past,Peter Bjorn And John,R&B
SOZNGFF12A8C137134,Poder Da Palavra,Ponto De Equilíbrio,Classical
SOZUZVP12A81C22B09,I Wish he Didn't Trust Me So Much,Sir Charles Jones,Classical
SOGYSZN12AB01876BE,The Saifam Mashup,Headhunterz,Pop
SOZSNMY12A8C1392F3,Neighbourhood,Sportsguitar,Electronic
SOZSXAC12A8AE47041,C,Rafael Toral,Classical
SOMUVHQ12A58A7683A,Alone,Moonlyn,Pop
SOUKKCI12A6D4FC632,Finally,Jana Kirschner,Country
SODLHUO12AB0185455,Por Que Te Olvidas De Mi,Anacani,Rock
SOGNLTH12AB0187655,La Martin Guemes,Jorge Cafrune,Pop
SOYXDCM12A8AE4915F,Back to the Species,Lebo M,Pop
SOQVBFK12A8C13372D,Piano Sonata No. 11 In A Major_ KV 331: III. Allegretto Alla Turca (Mozart),Lili Kraus,Classical
SOZKHTD12A8C13A4CC,Friends Like You,You Am I,Electronic
SOIVLZP12AB0186127,Beyond Light,Rippers,Pop
SOVQMZO12A8C136508,Gardenia (Album),Kelley Stoltz,R&B
SOKGMOT12AB018771F,Whisper,Evanescence,Country
SOTFPAY12A6310E13A,T Spot,Bentley Rhythm Ace,Classical
SOEZKWR12AB018B3A5,The Caissons Go Rolling Along,Henry Mancini,Classical
SOTYSAC12A8C13BBF5,Going Steady,Pink Spiders_ The,Rock
SOPPDMV12AB017BFEA,I Need To Know,Kris Allen,R&B
SOTFGOV12AB0185C48,Las Cosas De Mi China,Anthony Blea Y Su Charanga,R&B
SODOPYL12A58A7C22A,"September Song (From The 1938 Musical Play ""Knickerboker Holiday"") (Album Version)",Jimmy Durante,Country
SOMHTBN12A8C142273,Backpack Escape Plan,Free Diamonds,Classical
SOUUBUN12A8C143B97,Ingratos Ojos Mios,Hermanas Huerta,Electronic
SOLQHUF12A6D4F973C,Fake,Lo-Pro,Classical
SOMIARA12AB017D03A,Closer When She Goes,Ryan Adams,Pop
SOMXXZE12AB017B121,The Look,Creative Source,Jazz
SOTGNUL12AB017FA1A,Living In The Land Of Abe Lincoln,Stephen Bishop,Classical
SOXQWNR12A8C143FB0,Somewhere In Between [Demo Version],Hawthorne Heights,Rock
SOXJRTT12A58A7A5A7,Once In A Lifetime (Remastered & Extended Version ),Talking Heads,Hip-Hop
SOAPQRV12AC468AA3E,Dwelling,Rose Chronicles,Pop
SOXIXFC12A58A7DF24,Andy Playboy,Boston Spaceships,R&B
SOBHBBS12AB0181347,Read All About It,Farm Fresh,Jazz
SONGQPI12AB01874D5,Mindless Control,Chaotic Alliance,Rock
SOKKFKV12AC4688315,Battles Across The Stereo Spectrum,El Guapo Stuntteam,Pop
SONDCQV12AB0182DAC,Devil Gate Drive,Suzi Quatro,R&B
SONMUMV12AB01859CA,Guestlist,Sporty-O feat. Keith Mac,Jazz
SOTDQFS12AC3DFB22A,Cooler Than Me,Ari Shine,Electronic
SOLLUXZ12A8C13FA24,Marble Towers (Bonus track from Japanese version of Flowers),Echo And The Bunnymen,Pop
SOWYFXQ12A6D4F4EBB,If Hollywood Don't Need You,Don Williams,Rock
SOARVQU12AB017F924,Unge Hjerter,Rocazino,Classical
SOJGJZH12AB01801F3,Use Me Lord,The Blind Boys Of Alabama & Clarence Fountain,R&B
SOAPGSG12A58A7A349,What Can I Be ? (Spud's Song),Bob The Builder,R&B
SOVOOOV12AB0182132,Schaduw van de Liefde,Frank Boeijen,Classical
SOKRRAV12AB018932E,Natchez (Album Version),Kirk Whalum,Classical
SOEIKCL12AF72A064B,Camel Toe,P.S. I Love You,Rock
SOKLOQM12A8C138BAB,Debussy: Sonata for Cello and Piano in D: I. Prologue (Lent - Sostenuto E Molto Risoluto),Mischa Maisky/Martha Argerich,Pop
SOJOBVD12A8C13B59B,Sininen yö,Don Huonot,Electronic
SOUJJDW12A8C131B01,Higher,David Guetta - Joachim Garraud - Chris Willis,R&B
SOWNHJB12A58A794B4,"Ismael ""El Mayo",Los Cuates de Sinaloa,Pop
SOJWEFO12AB018476B,Oney,Johnny Cash,Country
SOGBYPS12AB01823C4,Fuck School,The Replacements,Hip-Hop
SOENLBK12AB0185CE3,I'm Hans Christian Andersen,Danny Kaye,Rock
SOIENKH12A6D4F7213,Nightmare (Digitally Remastered 97),Joe Loco,Electronic
SOHOPVO12A8AE47D2D,That's Life,Westlife,R&B
SODHUGU12A6D4F8684,A Dios,Santana,Classical
SOJAPHV12A58810E7F,Hoo-Bangin' (WSCG Style) (Edited),Westside Connection,Rock
SODOPOP12AB017FBFE,Living Like A Bird,Ultimate Shines,Hip-Hop
SOCYIFW12AB018C6B3,Goodie Good,Tami Chynn,Country
SOVBVLR12AC3DF9AD0,Monsoon,Fireside,Pop
SOUDMFM12AB018126E,Boy Meets Girl,Base Ball Bear,R&B
SOKRERJ12A8C144452,Put Your Confidence In Me,JOE TEX,Hip-Hop
SOPBYJE12AB01877D1,Côte d'Ivoire,Dobet Gnahoré,R&B
SOZAQQX12A8AE47321,Avaryan (Criminal),Hadag Nachash,Country
SOGTIGW12A8AE47BE8,There's A Small Hotel,Claude Thornhill,Classical
SOAAQQN12AB018557F,Gloria,The Yobs,Electronic
SOWLCMS12AB0181E0C,Yoga Dub,Alëem,R&B
SOBSZNK12AB0188D4F,You Got It,Danni Carlos,Classical
SOEHTHG12A81C22B95,Home In Your Heart (LP Version),Solomon Burke,R&B
SOBZQMP12AB017F5C0,"Candybar Express (Alt. 7"" mix)",Love & Money,Jazz
SOIMOHQ12AB0182962,Jungalero (1996 Digital Remaster),Les Baxter,Electronic
